#0.000000e+00 2.500000e-01 0.000000e+00 3.000000e-02 5.000000e-01 3.000000e-02
#time r_i_B0(1) r_i_B0(2) r_i_B0(3)  T_B0(1,1)  T_B0(2,1)  T_B0(3,1)  T_B0(1,2)  T_B0(2,2)  T_B0(3,2)  T_B0(1,3)  T_B0(2,3)  T_B0(3,3) 
7.490000e-01 2.253181e-02 1.901664e-01 4.618756e-01 -4.490337e-02 1.087564e-01 -9.930537e-01 -3.789803e-01 9.178941e-01 1.176617e-01 9.243147e-01 3.816312e-01 6.123234e-17
7.590000e-01 2.119945e-02 2.007929e-01 4.574197e-01 -4.237730e-02 9.606322e-02 -9.944727e-01 -4.013812e-01 9.098732e-01 1.049951e-01 9.149302e-01 4.036121e-01 6.123234e-17
7.690000e-01 1.978487e-02 2.112523e-01 4.527483e-01 -3.963480e-02 8.440441e-02 -9.956430e-01 -4.231994e-01 9.012254e-01 9.324711e-02 9.051693e-01 4.250513e-01 6.123234e-17
7.790000e-01 1.831010e-02 2.214957e-01 4.478888e-01 -3.673444e-02 7.374160e-02 -9.966006e-01 -4.443732e-01 8.920455e-01 8.238472e-02 8.950883e-01 4.458890e-01 6.123234e-17
7.890000e-01 1.679704e-02 2.314757e-01 4.428734e-01 -3.373115e-02 6.403365e-02 -9.973775e-01 -4.648405e-01 8.824314e-01 7.237471e-02 8.847517e-01 4.660627e-01 6.123234e-17
7.990000e-01 1.526707e-02 2.411469e-01 4.377386e-01 -3.067628e-02 5.523720e-02 -9.980019e-01 -4.845391e-01 8.724848e-01 6.318372e-02 8.742315e-01 4.855092e-01 6.123234e-17
8.090000e-01 1.374082e-02 2.504666e-01 4.325248e-01 -2.761746e-02 4.730711e-02 -9.984985e-01 -5.034088e-01 8.623102e-01 5.477852e-02 8.636069e-01 5.041658e-01 6.123234e-17
8.190000e-01 1.223788e-02 2.593950e-01 4.272756e-01 -2.459852e-02 4.019680e-02 -9.988889e-01 -5.213924e-01 8.520147e-01 4.712611e-02 8.529624e-01 5.219723e-01 6.123234e-17
8.290000e-01 1.077648e-02 2.678965e-01 4.220371e-01 -2.165936e-02 3.385868e-02 -9.991919e-01 -5.384382e-01 8.417059e-01 4.019375e-02 8.423866e-01 5.388737e-01 6.123234e-17
8.390000e-01 9.373311e-03 2.759404e-01 4.168562e-01 -1.883566e-02 2.824455e-02 -9.994236e-01 -5.545019e-01 8.314897e-01 3.394903e-02 8.319693e-01 5.548217e-01 6.123234e-17
8.490000e-01 8.043261e-03 2.835016e-01 4.117793e-01 -1.615874e-02 2.330599e-02 -9.995978e-01 -5.695485e-01 8.214684e-01 2.835972e-02 8.217989e-01 5.697776e-01 6.123234e-17
8.590000e-01 6.799190e-03 2.905618e-01 4.068509e-01 -1.365526e-02 1.899477e-02 -9.997263e-01 -5.835543e-01 8.117371e-01 2.339375e-02 8.119593e-01 5.837141e-01 6.123234e-17
