#2.500000e-01 0.000000e+00 0.000000e+00 5.000000e-01 5.000000e-02 5.000000e-02
#time r_i_B0(1) r_i_B0(2) r_i_B0(3)  T_B0(1,1)  T_B0(2,1)  T_B0(3,1)  T_B0(1,2)  T_B0(2,2)  T_B0(3,2)  T_B0(1,3)  T_B0(2,3)  T_B0(3,3) 
2.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.236120e-01 8.348189e-01 -1.700230e-01 9.034148e-02 1.440356e-01 9.854401e-01 8.471534e-01 -5.313484e-01 6.123234e-17
2.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.014520e-01 8.447310e-01 -1.870172e-01 9.546445e-02 1.608166e-01 9.823566e-01 8.599026e-01 -5.104582e-01 6.123234e-17
3.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.782748e-01 8.539378e-01 -2.050450e-01 1.001968e-01 1.788967e-01 9.787526e-01 8.724757e-01 -4.886575e-01 6.123234e-17
3.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.541618e-01 8.622689e-01 -2.241193e-01 1.044433e-01 1.982954e-01 9.745617e-01 8.847761e-01 -4.660165e-01 6.123234e-17
3.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.292162e-01 8.695498e-01 -2.442469e-01 1.081090e-01 2.190182e-01 9.697131e-01 8.967083e-01 -4.426219e-01 6.123234e-17
3.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 4.035644e-01 8.756052e-01 -2.654268e-01 1.111019e-01 2.410555e-01 9.641310e-01 9.081807e-01 -4.185784e-01 6.123234e-17
3.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.773566e-01 8.802612e-01 -2.876493e-01 1.133365e-01 2.643804e-01 9.577358e-01 9.191065e-01 -3.940091e-01 6.123234e-17
3.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.507676e-01 8.833499e-01 -3.108940e-01 1.147374e-01 2.889471e-01 9.504446e-01 9.294070e-01 -3.690563e-01 6.123234e-17
3.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 3.239953e-01 8.847124e-01 -3.351283e-01 1.152443e-01 3.146899e-01 9.421725e-01 9.390132e-01 -3.438811e-01 6.123234e-17
3.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.972592e-01 8.842039e-01 -3.603061e-01 1.148160e-01 3.415227e-01 9.328341e-01 9.478683e-01 -3.186624e-01 6.123234e-17
3.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.707964e-01 8.816975e-01 -3.863663e-01 1.134354e-01 3.693390e-01 9.223454e-01 9.559298e-01 -2.935954e-01 6.123234e-17
3.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.448571e-01 8.770888e-01 -4.132314e-01 1.111133e-01 3.980126e-01 9.106260e-01 9.631712e-01 -2.688888e-01 6.123234e-17
4.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 2.196981e-01 8.702999e-01 -4.408070e-01 1.078924e-01 4.273992e-01 8.976019e-01 9.695834e-01 -2.447612e-01 6.123234e-17
4.190000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.955748e-01 8.612823e-01 -4.689811e-01 1.038497e-01 4.573385e-01 8.832082e-01 9.751747e-01 -2.214368e-01 6.123234e-17
4.290000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.727329e-01 8.500196e-01 -4.976243e-01 9.909711e-02 4.876574e-01 8.673927e-01 9.799710e-01 -1.991404e-01 6.123234e-17
4.390000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.513992e-01 8.365286e-01 -5.265911e-01 9.378156e-02 5.181730e-01 8.501187e-01 9.840139e-01 -1.780918e-01 6.123234e-17
4.490000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.317719e-01 8.208593e-01 -5.557213e-01 8.808180e-02 5.486964e-01 8.313686e-01 9.873590e-01 -1.585000e-01 6.123234e-17
4.590000e-01 0.000000e+00 0.000000e+00 0.000000e+00 1.140128e-01 8.030941e-01 -5.848426e-01 8.220406e-02 5.790366e-01 8.111468e-01 9.900725e-01 -1.405576e-01 6.123234e-17
4.690000e-01 0.000000e+00 0.000000e+00 0.000000e+00 9.824004e-02 7.833455e-01 -6.137742e-01 7.637569e-02 6.090037e-01 7.894816e-01 9.922276e-01 -1.244361e-01 6.123234e-17
4.790000e-01 0.000000e+00 0.000000e+00 0.000000e+00 8.452282e-02 7.617526e-01 -6.423308e-01 7.083724e-02 6.384128e-01 7.664275e-01 9.939004e-01 -1.102816e-01 6.123234e-17
4.890000e-01 0.000000e+00 0.000000e+00 0.000000e+00 7.287917e-02 7.384779e-01 -6.703275e-01 6.583370e-02 6.670869e-01 7.420654e-01 9.951656e-01 -9.821125e-02 6.123234e-17
4.990000e-01 0.000000e+00 0.000000e+00 0.000000e+00 6.327580e-02 7.137026e-01 -6.975849e-01 6.160519e-02 6.948594e-01 7.165021e-01 9.960929e-01 -8.831210e-02 6.123234e-17
5.090000e-01 0.000000e+00 0.000000e+00 0.000000e+00 5.563096e-02 6.876224e-01 -7.239342e-01 5.837797e-02 7.215765e-01 6.898691e-01 9.967433e-01 -8.063989e-02 6.123234e-17
